id;date;status;id_season;id_competition;home_team_id;away_team_id;home_score;away_score;winner;round;venue;timestamp
6964823;16/06/2016 16:00;Ended;11098;1;4701;4786;0.0;2.0;2.0;;;1466092800
6964818;12/06/2016 16:00;Ended;11098;1;4703;4786;1.0;0.0;1.0;;;1465747200
6964835;21/06/2016 16:00;Ended;11098;1;4786;4711;0.0;1.0;2.0;;;1466524800
6964826;16/06/2016 19:00;Ended;11098;1;4711;4703;0.0;0.0;3.0;;;1466103600
6964816;12/06/2016 19:00;Ended;11098;1;4711;4701;2.0;0.0;1.0;;;1465758000
6964834;21/06/2016 19:00;Ended;11098;1;4714;4700;0.0;2.0;2.0;;;1466535600
6964830;17/06/2016 16:00;Ended;11098;1;4714;4715;2.0;2.0;3.0;;;1466179200
6964820;13/06/2016 13:00;Ended;11098;1;4698;4714;1.0;0.0;1.0;;;1465822800
6964834;21/06/2016 19:00;Ended;11098;1;4714;4700;0.0;2.0;2.0;;;1466535600
6964833;17/06/2016 19:00;Ended;11098;1;4698;4700;3.0;0.0;1.0;;;1466190000
6964819;12/06/2016 13:00;Ended;11098;1;4700;4715;0.0;1.0;2.0;;;1465736400
6964836;21/06/2016 19:00;Ended;11098;1;4715;4698;2.0;1.0;1.0;;;1466535600
6964830;17/06/2016 16:00;Ended;11098;1;4714;4715;2.0;2.0;3.0;;;1466179200
6964819;12/06/2016 13:00;Ended;11098;1;4700;4715;0.0;1.0;2.0;;;1465736400
6964836;21/06/2016 19:00;Ended;11098;1;4715;4698;2.0;1.0;1.0;;;1466535600
6964833;17/06/2016 19:00;Ended;11098;1;4698;4700;3.0;0.0;1.0;;;1466190000
6964820;13/06/2016 13:00;Ended;11098;1;4698;4714;1.0;0.0;1.0;;;1465822800
6964827;19/06/2016 19:00;Ended;11098;1;4477;4690;0.0;1.0;2.0;;;1466362800
6964824;15/06/2016 16:00;Ended;11098;1;4477;4699;1.0;1.0;3.0;;;1466006400
6964817;10/06/2016 19:00;Ended;11098;1;4481;4477;2.0;1.0;1.0;;;1465585200
6964827;19/06/2016 19:00;Ended;11098;1;4477;4690;0.0;1.0;2.0;;;1466362800
6964821;15/06/2016 19:00;Ended;11098;1;4481;4690;2.0;0.0;1.0;;;1466017200
6964815;11/06/2016 13:00;Ended;11098;1;4690;4699;0.0;1.0;2.0;;;1465650000
6964825;19/06/2016 19:00;Ended;11098;1;4699;4481;0.0;0.0;3.0;;;1466362800
6964824;15/06/2016 16:00;Ended;11098;1;4477;4699;1.0;1.0;3.0;;;1466006400
6964815;11/06/2016 13:00;Ended;11098;1;4690;4699;0.0;1.0;2.0;;;1465650000
6964825;19/06/2016 19:00;Ended;11098;1;4699;4481;0.0;0.0;3.0;;;1466362800
6964821;15/06/2016 19:00;Ended;11098;1;4481;4690;2.0;0.0;1.0;;;1466017200
6964817;10/06/2016 19:00;Ended;11098;1;4481;4477;2.0;1.0;1.0;;;1465585200
6965418;22/06/2016 19:00;Ended;11098;1;4707;4693;0.0;1.0;2.0;;;1466622000
6965416;17/06/2016 13:00;Ended;11098;1;4707;4688;1.0;0.0;1.0;;;1466168400
6965415;13/06/2016 19:00;Ended;11098;1;4717;4707;0.0;2.0;2.0;;;1465844400
6965418;22/06/2016 19:00;Ended;11098;1;4707;4693;0.0;1.0;2.0;;;1466622000
6965417;18/06/2016 13:00;Ended;11098;1;4717;4693;3.0;0.0;1.0;;;1466254800
