,id_season,id_comp,country,name,short_name,color_primary,color_secondary
5224,10391,679,ALB,KF Skënderbeu,0,#ff0000,#ff0000
48,25680,17,ENG,Everton,0,#274488,#ffffff
2220,13416,679,CZE,FC Zlín,0,#ffff00,#ffff00
2671,42224,17015,DEU,1. FC Köln,0,#ffffff,#e30613
3085,11774,679,TUR,Konyaspor,0,#ffffff,#009966
1836,13416,679,SWE,Östersunds FK,0,#ff0000,#000000
2528,107,35,DEU,Hertha BSC,0,#ffffff,#0131ad
2933,6361,679,BEL,SV Zulte Waregem,0,#cc0033,#990033
2958,37074,17015,NLD,Vitesse,0,#ffff00,#000000
5403,13416,679,MKD,FK Vardar Skopje,0,#ff0000,#000000
2556,92,35,DEU,1. FSV Mainz 05,0,#ff0000,#ffffff
36952,10391,679,AZE,Qəbələ FK,0,#d33138,#d33138
3288,8228,679,ROU,Astra Giurgiu,0,#ffffff,#000000
2793,6797,23,ITA,Sassuolo,0,#006600,#000000
45,25680,17,ENG,Southampton,0,#ff0000,#ffffff
3057,11774,679,TUR,Sincan Belediyesi Ankaraspor,0,#660066,#660066
2452,10391,679,CHE,FC Sion,0,#ff0000,#ffffff
3361,61648,17015,BLR,Dinamo Minsk,0,#374df5,#374df5
2951,1711,37,NLD,FC Groningen,0,#ffffff,#009933
3304,4790,679,UKR,Dnipro,0,#0000ff,#ffffff
3004,10391,679,PRT,B-SAD,0,#0000ff,#0000ff
6342,8228,679,GRC,Asteras Aktor,0,#ff9900,#0000ff
2600,3405,35,DEU,FC Augsburg,0,#ffffff,#cd1719
2696,83,23,ITA,Torino,0,#6d1b1d,#ffffff
2315,8228,679,RUS,Dynamo Moscow,0,#0066ff,#0066ff
4500,6361,679,PRT,Estoril Praia,0,#ffff00,#0000ff
3036,8228,679,PRT,Rio Ave,0,#006633,#ffffff
1654,65,34,FRA,Guingamp,0,#cc0000,#cc0000
2887,8228,679,BEL,KSC Lokeren Oost-Vlaanderen,0,#ffffff,#ffcc33
3314,2765,679,UKR,FC Metalist Kharkiv,0,#ffcc00,#ffcc33
74,3391,17,WAL,Swansea City,0,#ffffff,#ffffff
2343,6361,679,RUS,Kuban Krasnodar,0,#ffff33,#ffff33
2442,61648,17015,CHE,FC St. Gallen 1879,0,#ffffff,#009933
3310,6361,679,UKR,Chornomorets Odesa,0,#000000,#ffffff
1287,6361,679,DNK,Esbjerg,0,#0000ff,#ffffff
49,3,17,ENG,Wigan Athletic,0,#0000ff,#ffffff
3003,6361,679,PRT,Paços de Ferreira,0,#ffff00,#009933
5336,6361,679,ROU,Pandurii Târgu Jiu,0,#0000ff,#ffffff
2327,4790,679,RUS,Anzhi Makhachkala,0,#ffff00,#ffff00
660,6361,679,NOR,Tromsø IL,0,#ffffff,#ff0000
5360,6361,679,KAZ,Shakhter Karagandy,0,#ff6600,#ff6600
3015,4790,679,PRT,Académica Coimbra,0,#000000,#000000
3407,4790,679,CYP,AEL Limassol,0,#ffff00,#000066
3007,4790,679,PRT,Marítimo,0,#009966,#ff0000
1764,4790,679,SWE,AIK,0,#000000,#000000
5215,4790,679,AZE,Neftçi Baku PFK,0,#ffffff,#ffffff
5399,4790,679,ISR,Hapoel Ironi Kiryat Shmona,0,#ffffff,#0000ff
2541,90,35,DEU,Hannover 96,0,#bf0000,#ffffff
2849,100,8,ESP,Levante UD,0,#0e3b68,#d70000
1890,4790,679,SWE,Helsingborgs IF,0,#ff0000,#ff0000
3177,42224,17015,IRL,Shamrock Rovers,0,#008100,#ffffff
295403,3403,679,ROU,FC Rapid București,0,#990000,#ffffff
6122,3403,679,ROU,FC Vaslui,0,#ffff33,#000000
29,1544,17,ENG,Stoke City,0,#ffffff,#ff0000
9,46,17,ENG,Birmingham City,0,#000099,#ffffff
3111,3403,679,POL,Wisła Kraków,0,#cc0000,#ffffff
43,47,17,ENG,Fulham,0,#ffffff,#000000
1286,2765,679,DNK,Odense BK,0,#ffffff,#3366ff
3252,2765,679,GRC,Aris Thessaloniki,0,#ffff00,#000000
2715,96,23,ITA,Palermo,0,#ffb3d9,#000000
2446,2765,679,CHE,FC Lausanne-Sport,0,#ffffff,#31489b
2036,2765,679,HRV,HNK Hajduk Split,0,#ffffff,#ffffff
2711,85,23,ITA,Sampdoria,0,#0000ff,#ffffff
3316,2765,679,UKR,Karpaty Lviv,0,#ffffff,#009f00
2948,1711,37,NLD,FC Utrecht,0,#ff0000,#ffffff
5286,2155,679,ROU,FC Timisoara,0,#374df5,#374df5
2713,712,23,ITA,Genoa,0,#000033,#660000
2964,1711,37,NLD,SC Heerenveen,0,#ffffff,#000099
5354,2155,679,LVA,FK Ventspils,0,#ffd700,#0000ff
3292,2155,679,ROU,FC Dinamo București,0,#ff0000,#ffffff
3013,2155,679,PRT,CD Nacional,0,#000000,#ffffff
4482,25,11,CYP,Cyprus,0,#285c9f,#ffffff
129264,10585,11,GIB,Gibraltar,0,#cc0000,#ffffff
4483,25,11,MLT,Malta,0,#ff0000,#ffffff
4740,25,11,ARM,Armenia,0,#cc0000,#ef7b00
4782,25,11,MDA,Moldova,0,#000099,#ffbc00
4760,25,11,FRO,Faroe Islands,0,#ffffff,#0000ff
4742,25,11,AZE,Azerbaijan,0,#0071b8,#ffffff
4759,25,11,EST,Estonia,0,#0066cc,#ffffff
7139,1152,11,MNE,Montenegro,0,#cc0000,#ffffff
4776,25,11,LTU,Lithuania,0,#fcd91e,#316b3e
4772,25,11,KAZ,Kazakhstan,0,#fec50c,#4578d7
4833,25,11,SMR,San Marino,0,#0387cc,#ffffff
4743,25,11,BLR,Belarus,0,#ffffff,#fe0503
154426,10585,11,XKX,Kosovo,0,#244aa5,#f8cc22
4818,25,11,AND,Andorra,0,#cc0000,#0054a9
4478,25,11,LUX,Luxembourg,0,#ff0000,#ffffff
4830,25,11,LIE,Liechtenstein,0,#3a5aa3,#c40000
14,29167,17,ENG,Nottingham Forest,0,#cc0000,#cc0000
60,10356,17,ENG,Bournemouth,0,#000000,#cc0000
50,37036,17,ENG,Brentford,0,#ffffff,#ff0000
7,29167,17,ENG,Crystal Palace,0,#0033ff,#b90d2b
32,25680,17,ENG,Ipswich Town,0,#0000ff,#ffffff
72,52186,17,ENG,Luton Town,0,#ff3300,#000033
6,2139,17,ENG,Burnley,0,#81204c,#8fd2f4
15,25680,17,ENG,Sheffield United,0,#ffffff,#ff0000
34,25680,17,ENG,Leeds United,0,#ffffff,#1d4189
24,49,17,ENG,Watford,0,#fbd142,#000000
263,25680,17,ENG,Norwich City,0,#ffcc33,#336600
8,46,17,ENG,West Bromwich Albion,0,#ffffff,#2d2f84
61,6311,17,WAL,Cardiff City,0,#0000eb,#ffffff
59,13380,17,ENG,Huddersfield Town,0,#ffffff,#0000ff
96,1544,17,ENG,Hull City,0,#de8f38,#000000
36,25681,17,ENG,Middlesbrough,0,#d90000,#d90000
41,25682,17,ENG,Sunderland,0,#ffffff,#ca0000
1,25680,17,ENG,Queens Park Rangers,0,#ffffff,#003399
28,4,17,ENG,Reading,0,#ffffff,#003399
5,25681,17,ENG,Bolton Wanderers,0,#ffffff,#000033
46,25680,17,ENG,Blackburn Rovers,0,#ffffff,#0000ff
67,2746,17,ENG,Blackpool,0,#ff6600,#ffffff
2,1,17,ENG,Portsmouth,0,#3165ae,#222226
27,25682,17,ENG,Derby County,0,#ffffff,#090e22
47,50,17,ENG,Charlton Athletic,0,#ff0000,#ffffff
11,25680,17,ENG,Coventry City,0,#0099cc,#999999
22,49,17,ENG,Bradford City,0,#660033,#ffcc00
4,25680,17,ENG,Milton Keynes Dons,0,#ffffff,#ff0000
