,id,name,short_name,primary_color,secondary_color,country_alpha
1281,2900,RSC Anderlecht,Anderlecht,#330066,#ffffff,BEL
1282,2903,KAA Gent,Gent,#0033ff,#ffffff,BEL
1283,2888,Club Brugge KV,Club Brugge,#0080ff,#000000,BEL
1284,4860,Royale Union Saint-Gilloise,USG,#ffec06,#1649fa,BEL
1285,2889,Royal Antwerp FC,Royal Antwerp,#d10f2f,#ffffff,BEL
1287,246943,ASK Koflach,ASK Koflach,#374df5,#374df5,AUT
1288,36905,SK Fürstenfeld,Fürstenfeld,#374df5,#374df5,AUT
1289,315414,Junge Wikinger Ried,Wikinger,#017d66,#000000,AUT
1290,34978,Vorwärts Steyr,Steyr,#ffffff,#ff0000,AUT
1291,6280,Sparkasse Gleisdorf,Gleisdorf,#ffffff,#109b25,AUT
1294,2060,DSV Leoben,Leoben,#374df5,#374df5,AUT
1295,291016,USV Weindorf St. Anna am Aigen,Weindorf St Anna,#ffffff,#034eb6,AUT
1296,258640,Oedt,,#374df5,#374df5,AUT
1299,2929,Cercle Brugge,Cercle Brugge,#006633,#003333,BEL
1300,371484,KSC Lokeren,Lokeren,#374df5,#374df5,BEL
1301,4859,SK Beveren,Beveren,#ffff00,#ffff00,BEL
1302,2926,KAS Eupen,Eupen,#ffffff,#000000,BEL
1303,116075,Koninklijke Lierse Sportkring,K. Lierse SK,#ffe500,#000000,BEL
1304,204219,Daring Brussels,Daring Brussels,#ffffff,#000000,BEL
1305,389226,RFC Liège,Club Liège,#374df5,#374df5,BEL
1306,6173,SV Bergisch Gladbach 09,Bergisch Gladbach,#ff0000,#000000,DEU
1307,112441,SSV Merten,Merten,#374df5,#374df5,DEU
1308,309159,FV Bonn-Endenich 1908,Bonn-Endenich,#374df5,#374df5,DEU
1309,228073,Siegburger SV 04,Siegburg,#0000ff,#848482,DEU
1310,75755,FC Hürth,Hürth,#e50033,#ffffff,DEU
1311,263382,FC Pesch,,#4190f4,#1d2a55,DEU
1312,338850,BW Konigsdorf,,#374df5,#374df5,
1313,398173,Teutonia Weiden,Teutonia Weiden,#374df5,#374df5,DEU
1314,5813,FC Wegberg-Beeck,Wegberg-B.,#c21e29,#717075,DEU
1315,323923,Fortuna Köln II,Fortuna Köln II,#ffffff,#ffffff,DEU
1316,260658,Wolfsberger AC II,WAC II,#ffffff,#000000,AUT
1317,291619,FC Hertha Wels,Wels,#1f519a,#458d48,AUT
1318,5169,Union Vocklamarkt,Vöcklamarkt,#318c2c,#ffed00,AUT
1321,24735,UFC Fehring,Fehring,#374df5,#374df5,AUT
1322,325203,Pertlstein/Fehring II,,#374df5,#374df5,
1323,246322,FC Weinland Gamlitz,FC Weinland Gamlitz,#374df5,#374df5,AUT
1324,2090,ESV Parndorf,Parndorf,#ff0000,#ff0000,AUT
1325,188873,Deutschkreutz,,#374df5,#374df5,AUT
1326,201557,Leithaprodersdorf,,#374df5,#374df5,AUT
1327,320628,SPG Edelserpentin,SPG Edelserpentin,#374df5,#374df5,
1328,200934,ASK Royal Sped Klingenbach,,#374df5,#374df5,AUT
1329,106979,ASV Draßburg,Draßburg,#127ddd,#f8212d,AUT
1330,226688,SV Schattendorf,,#374df5,#374df5,AUT
1331,528526,SK Pama,,#374df5,#374df5,AUT
1332,2061,Mattersburger SV,Mattersburg,#339900,#800000,AUT
1333,2192,Horitschon,Horitschon,#374df5,#374df5,AUT
1336,7944,Bath City,Bath,#ffffff,#000000,ENG
1337,25940,Hornchurch,,#ff0000,#ffffff,ENG
1338,23958,Chelmsford City,Chelmsford,#960000,#ffffff,ENG
1339,220,Salisbury,Salisbury,#ffffff,#000000,ENG
1340,198,Slough Town,Slough,#f2bf41,#222226,ENG
1341,104,Torquay United,Torquay,#ead429,#222226,ENG
1342,47045,Hemel Hempstead,,#008000,#222226,ENG
1343,147,Eastbourne Borough,Eastbourne,#c51425,#ffffff,ENG
1344,47289,Worthing FC,Worthing,#ff0000,#89cff0,ENG
1345,36467,Boreham Wood,Boreham,#edeeef,#222226,ENG
1346,7942,Solihull Moors,Solihull Moors,#ffff00,#0000ff,ENG
1347,110,Altrincham,Altrincham,#ff0000,#ffffff,ENG
1348,182,Braintree Town,Braintree,#ff6600,#ffffff,ENG
1349,114,Ebbsfleet United,Ebbsfleet,#e30f10,#ffffff,ENG
1350,101,Hartlepool United,Hartlepool,#014083,#cacbd0,ENG
1351,157,Gateshead,,#39596e,#222226,ENG
1352,166,Maidenhead United,Maidenhead,#ffffff,#222226,ENG
1353,6339,Sutton United,Sutton,#fcf042,#fcf042,ENG
1355,102,Tamworth,Tamworth,#be1414,#f6d562,ENG
1357,192,Mangotsfield United,Mangotsfield Utd,#374df5,#374df5,ENG
1358,215,Clevedon Town,Clevedon,#374df5,#374df5,ENG
1359,6341,Weston Super Mare,,#000000,#997f4e,ENG
1360,45361,Enfield Town,Enfield,#ffffff,#121a66,ENG
1361,178,Weymouth FC,Weymouth,#00bfff,#a93838,ENG
1362,26003,Maidstone United,Maidstone,#ffce00,#000000,ENG
1363,67,Blackpool,Blackpool,#ff6600,#ffffff,ENG
1364,28,Reading,,#ffffff,#003399,ENG
1365,64,Wrexham,Wrexham,#b11921,#222226,WAL
1366,5,Bolton Wanderers,Bolton,#ffffff,#000033,ENG
1367,70,Mansfield Town,Mansfield,#f3ba2b,#1d56db,ENG
1368,92,Lincoln City,Lincoln,#ff0000,#ffffff,ENG
1369,2950,AZ Alkmaar,AZ,#ff0000,#000000,NLD
1372,2393,The Spartans FC,The Spartans,#374df5,#374df5,SCO
1373,4921,The New Saints,TNS,#ffffff,#41a317,WAL
1374,2381,East Stirlingshire,East Stirlingshire,#374df5,#374df5,SCO
1375,2367,Airdrieonians,,#ffffff,#ff0000,SCO
1376,2363,Falkirk FC,Falkirk,#333399,#ff0000,SCO
1377,2361,Raith Rovers,,#000000,#000000,SCO
1379,2113,FC Blau Weiss Linz,BW Linz,#ffffff,#0000b2,AUT
1380,2055,SK Rapid Wien,Rapid,#00794b,#ffffff,AUT
1381,2051,SK Sturm Graz,Sturm,#000000,#0000ff,AUT
1382,5124,Nyiregyháza Spartacus,Nyíregyháza,#101e82,#bb1514,HUN
1383,3108,Śląsk Wrocław,Śląsk,#006633,#006633,POL
1386,3122,Wisła Płock,Wisła Płock,#ffffff,#3333ff,POL
1387,7916,OKS Odra Opole,Odra Opole,#0061af,#ffe600,POL
1388,3105,Ruch Chorzów,Ruch Chorzów,#0066ff,#0066ff,POL
