,id,name,id_competition,year,editor
100,62411,Championship 24/25,206,24/25,False
101,61716,Chance Liga 24/25,172,24/25,False
102,63719,Cup 24/25,282,24/25,False
103,63715,DBU Pokalen 24/25,76,24/25,False
104,61326,Superliga 24/25,39,24/25,False
105,61714,NB I 24/25,187,24/25,False
106,66149,Magyar Kupa 24/25,305,24/25,False
107,67643,Azerbaijan Cup 24/25,740,24/25,False
108,64075,Premier League 24/25,709,24/25,False
109,61477,Parva Liga 24/25,247,24/25,False
110,61658,Super League 24/25,215,24/25,False
111,63399,Schweizer Cup 24/25,399,24/25,False
112,63552,Promotion League 24/25,1101,24/25,False
113,61712,Premier League 24/25,203,24/25,False
114,61744,24/25,91,24/25,False
115,62405,Premiership 24/25,200,24/25,False
116,69577,Irish Cup 2025,767,2025,False
117,63463,WWIN Liga BiH 24/25,222,24/25,False
118,65717,Kup Republike Srpske 24/25,20360,24/25,True
119,75665,Super Kup 2025,26693,2025,False
120,61446,Prva Liga 24/25,721,24/25,False
121,70096,"Liga MX, Clausura 2025",11620,24/25,False
122,70681,"Primera A, Apertura 2025",11539,2025,False
123,62837,Superliga 24/25,152,24/25,False
124,64681,Romania Cup 24/25,355,24/25,False
125,64292,24/25,23039,24/25,True
126,63786,3. Liga 24/25,491,24/25,False
127,63815,Regionalliga Southwest 24/25,1079,24/25,False
128,62629,Bundesliga 24/25,45,24/25,False
129,62657,2. Liga 24/25,135,24/25,False
130,61669,1. Division 24/25,47,24/25,False
131,63516,Bundesliga 24/25,35,24/25,False
132,63514,2. Bundesliga 24/25,44,24/25,False
133,75700,Regionalliga Playoffs 2025,11096,2025,False
134,63874,Regionalliga North 24/25,42,24/25,False
135,63813,Regionalliga West 24/25,493,24/25,False
136,62923,24/25,22834,24/25,False
137,0,0,9240,0,False
138,61725,FNL 24/25,205,24/25,False
139,61728,Superliga 24/25,211,24/25,False
140,61661,Regionalliga Ost 24/25,166,24/25,False
141,61671,OFB Cup 24/25,445,24/25,False
142,61448,Superliga 24/25,210,24/25,False
143,61829,Regionalliga Bavaria 24/25,1085,24/25,False
144,75780,24/25,26771,24/25,True
145,61670,Challenge League 24/25,216,24/25,False
146,67167,Liechtensteiner Cup 24/25,757,24/25,False
147,63682,24/25,22842,24/25,False
148,66406,Scottish Cup 24/25,347,24/25,False
149,61959,League One 24/25,24,24/25,False
150,63999,24/25,22843,24/25,False
151,62656,Premier League 24/25,218,24/25,False
152,64691,Ukraine Cup 24/25,312,24/25,False
153,61243,HNL 24/25,170,24/25,False
154,63541,Oberliga NOFV South 24/25,150,24/25,False
155,63556,Regionalliga Northeast 24/25,1083,24/25,False
156,61666,Eredivisie 24/25,37,24/25,False
157,61459,Pro League 24/25,38,24/25,False
158,61930,Regionalliga Centre 24/25,168,24/25,False
159,61412,Challenger Pro League 24/25,9,24/25,False
160,64323,Oberliga Mittelrhein 24/25,1105,24/25,False
161,57234,Club Friendly Games 2024,853,2024,False
162,62916,24/25,22828,24/25,False
163,63803,National League South 24/25,174,24/25,False
164,63807,National League 24/25,173,24/25,False
165,61452,I Liga 24/25,229,24/25,False
166,61685,II Liga 24/25,515,24/25,False
167,63403,CFL 24/25,9387,24/25,False
168,61236,Ekstraklasa 24/25,202,24/25,False
169,61960,League Two 24/25,25,24/25,False
170,63722,"III Liga, Group 3 24/25",11315,24/25,False
171,64014,Tweede Divisie 24/25,11402,24/25,False
172,61667,Eerste Divisie 24/25,131,24/25,False
173,61645,UEFA Europa League 24/25,679,24/25,False
174,64606,24/25,21485,24/25,True
175,61929,2nd Division 24/25,65,24/25,False
176,61961,Championship 24/25,18,24/25,False
177,63542,EFL Trophy 24/25,334,24/25,False
178,55960,"Pan American Games, Women 2023",13773,2023,False
179,69459,"SheBelieves Cup, Women 2025",3076,2025,False
