,name,slug_name,unique_comp_id
193,Oberliga NOFV South,oberliga-nofv-south,150
194,Regionalliga Northeast,regionalliga-northeast,1083
195,Eredivisie,eredivisie,37
196,"Pro League, Championship Round",first-division-a-championship-round,38
197,Regionalliga Mitte,regionalliga-mitte,168
198,"Pro League, Relegation/Promotion Playoff",pro-league-relegationpromotion-playoff,38
199,Challenger Pro League,challenger-pro-league,9
200,Oberliga Mittelrhein,oberliga-mittelrhein,1105
201,BFV Cup,bfv-cup,21352
202,Landesliga Burgenland,landesliga-burgenland,22828
203,National League South,national-league-south,174
204,National League,national-league,173
205,"Austrian Bundesliga, Championship Round",bundesliga-championship-round,45
206,I liga,i-liga,229
207,"II Liga, Promotion Playoff",ii-liga-promotion-playoff,515
208,II Liga,ii-liga,515
209,"CFL, Group A",cfl-group-a,9387
210,Ekstraklasa,ekstraklasa,202
211,League Two,league-two,25
212,"Scottish Premiership, Championship Round",premiership-championship-round,36
213,"Chance Liga, Relegation",1-liga-relegation,172
214,"Chance Liga, Relegation/Promotion",1-liga-relegationpromotion,172
215,"Niké Liga, Championship Round",nike-liga-championship-round,211
216,"III Liga, Group 3",iii-liga-group-3,11315
217,Tweede Divisie,tweede-divisie,11402
218,"Eredivisie, Relegation/Promotion Playoffs",eredivisie-relegationpromotion-playoffs,37
219,Eerste Divisie,eerste-divisie,131
220,"UEFA Europa League, Knockout Phase",uefa-europa-league-knockout-phase,679
221,"Northern Premier League, Division One East",northern-premier-league-division-one-east,21485
222,"National League, Playoffs",national-league-playoffs,173
223,"2nd Division, Promotion Group",2nd-division-promotion-group,65
224,2nd Division,2nd-division,65
225,"EFL Trophy, Knockout stage",efl-trophy-knockout-stage,334
226,"Pan American Games, Women, Placement 5-8",pan-american-games-women-placement-5-8,13773
227,"Pan American Games, Women, Group B",pan-american-games-women-group-b,13773
228,"SheBelieves Cup, Women",shebelieves-cup-women,3076
