match_id,team_id,half,stat_name,value
13472729,1974,2,dispossessed,2
13472729,1981,2,ground_duels,16/42 (38%)
13472729,1974,2,ground_duels,26/42 (62%)
13472729,1981,2,aerial_duels,8/18 (44%)
13472729,1974,2,aerial_duels,10/18 (56%)
13472729,1981,2,dribbles,5/10 (50%)
13472729,1974,2,dribbles,8/14 (57%)
13472729,1981,2,tackles_won,75%
13472729,1974,2,tackles_won,50%
13472729,1981,2,total_tackles,8
13472729,1974,2,total_tackles,10
13472729,1981,2,interceptions,8
13472729,1974,2,interceptions,10
13472729,1981,2,recoveries,20
13472729,1974,2,recoveries,21
13472729,1981,2,clearances,10
13472729,1974,2,clearances,23
13472729,1981,2,total_saves,3
13472729,1974,2,total_saves,2
13472729,1981,2,goal_kicks,3
13472729,1974,2,goal_kicks,4
13472704,1955,0,ball_possession,59%
13472704,1981,0,ball_possession,41%
13472704,1955,0,expected_goals,2.49
13472704,1981,0,expected_goals,1.86
13472704,1955,0,big_chances,3
13472704,1981,0,big_chances,2
13472704,1955,0,total_shots,13
13472704,1981,0,total_shots,14
13472704,1955,0,goalkeeper_saves,3
13472704,1981,0,goalkeeper_saves,5
13472704,1955,0,corner_kicks,5
13472704,1981,0,corner_kicks,3
13472704,1955,0,fouls,13
13472704,1981,0,fouls,11
13472704,1955,0,passes,472
13472704,1981,0,passes,337
13472704,1955,0,tackles,17
13472704,1981,0,tackles,16
13472704,1955,0,free_kicks,10
13472704,1981,0,free_kicks,12
13472704,1955,0,yellow_cards,1
13472704,1981,0,yellow_cards,2
13472704,1955,0,total_shots,13
13472704,1981,0,total_shots,14
13472704,1955,0,shots_on_target,7
13472704,1981,0,shots_on_target,4
13472704,1955,0,hit_woodwork,1
13472704,1981,0,hit_woodwork,0
13472704,1955,0,shots_off_target,2
13472704,1981,0,shots_off_target,5
13472704,1955,0,blocked_shots,4
13472704,1981,0,blocked_shots,5
13472704,1955,0,shots_inside_box,7
13472704,1981,0,shots_inside_box,6
13472704,1955,0,shots_outside_box,6
13472704,1981,0,shots_outside_box,8
13472704,1955,0,big_chances_scored,1
13472704,1981,0,big_chances_scored,1
13472704,1955,0,big_chances_missed,2
13472704,1981,0,big_chances_missed,1
13472704,1955,0,through_balls,0
13472704,1981,0,through_balls,1
13472704,1955,0,touches_in_penalty_area,24
13472704,1981,0,touches_in_penalty_area,14
13472704,1955,0,fouled_in_final_third,6
13472704,1981,0,fouled_in_final_third,6
13472704,1955,0,offsides,2
13472704,1981,0,offsides,2
13472704,1955,0,accurate_passes,411
13472704,1981,0,accurate_passes,286
